"id","train","target","tof","r","fitem","ford","m","f1","f3","f5","f6","f7","f8","f9","f10","f12","f14","f17","f19","f20","f21","f22","f23","f26","f27","f30","f31","f35","f36","f37","f38","f39","f40","f41","f44","f50","f99","m1","m3","m5","m6","m7","m8","m9","m10","m12","m14","m17","m19","m20","m21","m22","m23","m26","m27","m30","m31","m35","m36","m37","m38","m39","m40","m41","m44","m50","m99"
957,0,44.94,6.78986995208761,0.32580424366872,38,14,395.79,1,0,2,0,0,0,0,0,0,4,0,4,4,0,0,0,1,0,0,0,7,0,4,0,0,4,2,1,0,4,12.68,0,20.24,0,0,0,0,0,0,29.41,0,53.84,60.75,0,0,0,5.9,0,0,0,74.16,0,22.75,0,0,61.18,17.15,10,0,27.74
2062,0,0,6.11362080766598,0.369609856262834,161,16,1078.61,3,0,2,1,0,4,0,0,0,1,0,1,0,0,0,5,3,0,0,4,95,4,10,0,0,10,14,3,0,1,13.11,0,10,9.95,0,31.98,0,0,0,0,0,8.59,0,0,0,30.64,19.18,0,0,35.07,678.76,16.57,48.99,0,0,72.57,79.95,23.24,0,0
2232,1,0,7.00342231348391,0.706365503080082,90,40,1468.65,0,0,0,0,0,0,0,1,7,12,3,17,0,2,0,0,1,0,0,2,12,2,1,0,1,16,8,4,0,1,0,0,0,0,0,0,0,8.18,89.39,308.38,105.34,381.34,0,15.26,0,0,5.11,0,0,39.9,121.06,12.67,5.95,0,12.78,160.02,87.98,100.48,0,14.8
2623,0,0,6.82819986310746,1.2621492128679,16,5,152.06,1,0,1,1,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,1,0,0,4,0,0,0,0,1,0,1,10.12,0,0,15.24,0,0,0,0,0,13.1,0,0,44.75,0,0,0,0,11.45,0,8.9,0,0,32.98,0,0,0,0,7.62,0,7.9
3000,1,0,7.05270362765229,1.35797399041752,22,13,258.65,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,1,0,10,0,0,0,0,2,0,0,0,0,17.38,0,0,0,0,7.67,0,0,0,17.87,0,0,0,0,48.16,0,0,0,18.87,0,72.1,0,0,0,0,76.59,0,0
3689,0,0,5.35249828884326,2.24777549623546,15,5,137.15,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,1,0,0,0,2,1,2,0,1,0,0,0,0,0,15.24,0,0,0,0,0,37.75,0,0,18.9,0,0,0,0,26.79,0,6.95,0,0,0,12.73,10.12,8.67,0,0
4251,0,0,5.75222450376454,0.120465434633812,82,12,688.6,1,0,0,0,0,0,0,0,0,32,0,0,7,0,0,0,1,11,0,7,6,0,0,0,0,1,0,0,3,13,7.67,0,0,0,0,0,0,0,0,205.04,0,0,47.93,0,0,0,6.14,143.06,0,73.47,44.52,0,0,0,0,2.95,0,0,25.33,132.49
4642,0,0,1.2539356605065,0.887063655030801,5,2,50.7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.85,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0
5002,0,0,6.25598904859685,0.101300479123888,63,21,701.77,2,0,0,0,0,0,0,0,3,12,0,5,9,1,0,0,0,0,0,8,5,0,0,0,0,9,3,0,1,5,27.01,0,0,0,0,0,0,0,89.49,94.54,0,57.69,103.53,10.17,0,0,0,0,0,85.66,42.15,0,0,0,0,91.7,40.65,0,20.43,38.75
6084,0,44,6.8062970568104,0.0739219712525667,245,55,2264.48,12,11,5,4,2,9,0,0,3,28,0,44,51,7,0,10,0,3,0,19,4,2,2,0,0,19,4,0,0,6,72.65,78.99,34.27,28.99,22.9,86.28,0,0,54.7,226.76,0,346.43,612.91,49.15,0,103.95,0,30.83,0,163.72,28.05,12.59,8.45,0,0,193.81,29.1,0,0,79.96
6130,0,0,5.83162217659138,0.295687885010267,27,9,244.64,0,0,1,0,0,0,0,0,0,3,0,4,2,2,0,0,0,0,0,1,3,2,0,0,0,5,1,0,1,2,0,0,10.12,0,0,0,0,0,0,12.9,0,37.57,19.9,15.07,0,0,0,0,0,5.95,21.62,19.92,0,0,0,59.22,16.95,0,10.2,15.21
6610,0,0,6.05338809034908,4.03011635865845,6,4,27.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,6.6
6670,1,0,5.25941136208077,2.13004791238877,13,3,138.13,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19.95,9.95,0,0,0,9.95,30.47,0,0,0,0,0,47.61,0,10,0,0,0,0,0,0,10.2
7072,1,0,6.82546201232033,0.11772758384668,17,9,203.94,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,106.4,0,0,0,0,25.44,0,0,5.5,0,0,0,0,0,0,0,60,6.6
7285,1,0,4.96646132785763,1.09514031485284,9,4,119.12,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,48.21,3.99,0,0,0,0,0,0,14.95,0,0,0,0,0,0,3.95,0,32.7,15.31
7862,0,0,6.65571526351814,2.36002737850787,10,8,103.73,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.51,51.02,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0
8648,0,0,3.62217659137577,0.446269678302533,18,12,165.58,1,0,5,0,0,0,0,0,2,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,4.95,0,38.36,0,0,0,0,0,14.9,12.8,0,23.9,14.9,0,0,0,0,0,0,0,0,15.9,0,0,0,10.12,0,0,0,29.75
9121,0,0,6.96509240246407,0.10403832991102,31,10,231.19,0,0,1,0,0,2,0,0,0,0,0,1,4,1,0,1,0,0,0,0,14,0,1,0,0,4,2,0,0,0,0,0,5,0,0,17.59,0,0,0,0,0,6.62,33.42,5.01,0,10.2,0,0,0,0,105.14,0,6.62,0,0,33.08,8.49,0,0,0
9377,0,0,7.04175222450376,1.13347022587269,123,63,1160.88,6,3,1,0,1,24,1,1,0,1,0,13,10,2,0,0,0,0,0,0,37,0,7,0,0,0,0,7,0,9,54.8,55.07,4.99,0,19.43,266.41,3.95,9.18,0,0,0,130.03,113.41,23.04,0,0,0,0,0,0,268.81,0,52.04,0,0,0,0,60.7,0,99.04
9423,1,0,6.81998631074606,5.96303901437372,2,2,54.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.88,0,0,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9784,0,0,6.83093771389459,0.659822039698836,43,18,531.1,4,1,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,0,0,8,2,6,1,0,0,0,0,0,0,12,35.64,24.9,0,0,0,0,0,0,20.25,54.99,0,62.53,0,0,0,0,0,0,0,98.51,19.3,84.16,6.62,0,0,0,0,0,0,124.2
10855,0,0,6.55989048596851,0.522929500342231,34,10,330.81,2,2,0,0,0,0,0,1,2,2,1,8,1,0,0,0,0,0,1,4,1,1,1,0,0,2,0,4,0,1,10.9,10.53,0,0,0,0,0,9.18,33.13,10.2,5.06,105.64,8.67,0,0,0,0,0,20.4,35.56,5,7.13,5.06,0,0,25.51,0,25.58,0,13.24
11134,1,0,5.94934976043806,5.94934976043806,2,1,17.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57,10.17,0,0,0,0,0,0,0,0
13978,1,0,6.19849418206708,6.19849418206708,2,1,9.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0
14001,0,0,6.98151950718686,3.40041067761807,13,10,156.81,0,0,0,0,0,1,0,0,2,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.11,0,0,56.01,0,0,51.05,17.77,0,0,0,0,0,0,15.24,0,0,0,0,0,6.62,0,0,0,5.01
14389,1,0,4.77754962354552,4.77754962354552,2,1,29.63,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14575,0,24.95,0.216290212183436,0.0465434633812457,7,2,63.5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,40.75,0,0,0,0,0,0,5.95,6.9,0,0,0,0,0,0,0,0,0
15113,1,0,7.00068446269678,2.76796714579055,22,19,259.77,0,0,0,0,1,2,0,0,1,1,0,5,0,0,0,0,0,3,0,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,5.11,25.51,0,0,15.31,11.71,0,60.18,0,0,0,0,0,30.45,0,65.71,0,0,0,0,0,20.25,0,5.11,0,20.43
15652,0,0,0.706365503080082,0.706365503080082,4,1,42.7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
